Hours_Studied,Attendance,Parental_Involvement,Access_to_Internet,Sleep_Hours,Tutoring_Sessions,Exam_Score
6.0,94.8,Medium,Yes,8.3,2,81.7
4.7,89.1,Low,Yes,7.7,0,67.3
6.3,78.7,Medium,Yes,9.8,1,78.4
8.0,70.2,Low,Yes,5.2,2,86.2
4.5,86.4,High,Yes,8.5,5,93.5
4.5,82.7,High,Yes,8.4,1,80.3
8.2,88.7,Low,Yes,5.8,3,91.9
6.5,85.6,High,Yes,8.2,1,77.8
4.1,90.6,Medium,Yes,7.4,3,70.3
6.1,71.6,Medium,Yes,6.7,2,64.2
4.1,93.8,Low,Yes,6.0,4,69.8
4.1,80.4,Medium,Yes,6.1,1,70.8
5.5,100.0,High,Yes,9.5,2,91.8
1.2,69.7,Medium,Yes,7.0,2,62.7
1.6,98.8,Low,Yes,7.9,1,57.0
3.9,80.4,Low,Yes,6.1,0,68.2
3.0,70.2,Medium,Yes,6.1,0,63.7
5.6,72.2,Medium,Yes,8.3,0,79.8
3.2,74.2,Low,Yes,5.4,4,54.2
2.2,83.1,Medium,Yes,6.5,0,65.2
7.9,84.3,High,Yes,7.0,0,79.7
4.5,71.1,High,No,7.1,3,72.3
5.1,77.7,Medium,Yes,6.8,1,77.0
2.2,100.0,High,Yes,7.5,2,77.2
3.9,98.7,Medium,Yes,7.8,0,69.7
5.2,83.2,Medium,No,7.9,5,80.8
2.7,78.5,Low,No,5.8,4,52.5
5.8,79.4,Medium,Yes,6.7,4,88.5
3.8,85.4,High,Yes,8.4,1,77.3
4.4,65.7,Medium,Yes,8.1,3,81.8
3.8,74.9,Medium,Yes,5.4,0,61.3
8.7,58.0,Medium,Yes,7.4,0,77.3
5.0,82.8,Low,Yes,4.6,0,59.8
2.9,85.8,High,Yes,7.1,2,80.2
6.6,72.2,Medium,Yes,9.3,1,78.1
2.6,96.9,Medium,No,5.9,2,69.9
5.4,63.3,Medium,Yes,6.0,0,65.9
1.1,60.4,Medium,Yes,7.9,1,47.6
2.3,80.7,Low,Yes,5.1,3,58.3
5.4,90.6,Medium,Yes,6.2,1,69.3
6.5,98.2,Low,Yes,7.7,3,84.4
5.3,72.5,Medium,Yes,6.2,0,63.2
4.8,90.9,High,No,6.7,3,84.7
4.4,77.5,High,Yes,7.9,2,79.0
2.0,75.9,Medium,Yes,7.5,0,62.0
3.6,88.6,Medium,Yes,7.3,0,74.5
4.1,85.8,Low,Yes,6.6,2,75.6
7.1,59.1,High,Yes,7.4,3,84.8
5.7,95.7,Medium,Yes,6.9,1,75.3
1.5,94.6,Medium,Yes,7.5,1,56.8
5.6,70.5,Medium,Yes,6.4,4,74.3
4.2,82.7,Low,Yes,6.8,2,66.1
3.6,83.9,Medium,Yes,5.8,1,69.0
6.2,81.1,Low,Yes,7.0,1,72.4
7.1,71.4,Medium,Yes,6.0,0,79.6
6.9,69.9,Medium,Yes,5.7,2,73.8
3.3,77.7,Low,Yes,7.3,1,64.7
4.4,92.1,Medium,Yes,7.3,5,90.0
5.7,84.5,Low,Yes,7.9,1,77.5
7.0,73.6,Medium,Yes,6.5,1,78.0
4.0,87.3,Medium,No,7.5,2,68.0
4.6,43.8,Low,No,7.7,4,60.2
2.8,91.8,High,Yes,7.5,3,73.5
2.6,57.1,Low,Yes,6.0,1,52.4
6.6,73.7,Low,Yes,7.2,3,82.7
7.7,64.6,Medium,Yes,7.4,2,80.9
4.9,62.5,Medium,Yes,7.0,1,62.1
7.0,91.9,Low,Yes,4.5,0,83.2
5.7,72.4,Medium,Yes,7.2,1,77.3
3.7,82.2,Medium,Yes,9.7,0,65.9
5.7,77.4,High,Yes,6.6,4,82.0
8.1,83.7,Medium,Yes,6.1,1,84.0
4.9,78.9,High,Yes,7.4,5,96.1
8.1,62.6,High,Yes,7.4,2,80.4
0.5,90.0,Medium,Yes,8.4,2,72.7
6.6,72.1,High,No,5.5,2,85.0
5.2,59.3,Medium,Yes,7.9,0,66.7
4.4,72.9,High,Yes,7.7,1,74.7
5.2,96.0,Low,Yes,6.8,0,66.1
1.0,88.2,Medium,No,7.4,2,60.8
4.6,73.8,Medium,Yes,8.2,1,73.9
5.7,73.8,Medium,Yes,8.0,3,84.8
8.0,74.1,Medium,Yes,5.6,0,84.6
4.0,100.0,Medium,Yes,8.0,0,71.3
3.4,82.6,Low,Yes,6.9,1,53.8
4.0,83.2,Low,Yes,7.1,4,73.4
6.8,90.4,Medium,Yes,7.1,3,88.0
5.7,80.9,Medium,Yes,6.8,1,77.9
3.9,74.9,High,No,8.4,2,72.4
6.0,75.6,High,Yes,6.9,0,79.4
5.2,77.1,High,Yes,5.7,5,92.1
6.9,77.6,Medium,Yes,6.5,2,83.0
3.6,86.7,Medium,Yes,7.2,1,69.6
4.3,78.6,Low,No,8.5,2,65.7
4.2,86.8,High,Yes,7.7,0,75.9
2.1,77.0,Medium,Yes,6.0,5,79.5
5.6,78.9,Low,Yes,10.0,0,75.2
5.5,54.0,Medium,Yes,7.3,2,72.6
5.0,89.0,High,Yes,8.5,0,78.7
4.5,82.2,Medium,Yes,6.8,3,83.1
2.2,90.0,Medium,Yes,7.6,3,84.2
4.2,43.2,Medium,No,8.0,2,66.2
4.3,100.0,Low,Yes,8.5,2,77.9
3.4,76.3,Medium,Yes,8.3,4,76.7
4.7,91.3,Medium,Yes,8.0,0,61.8
5.8,65.5,Low,Yes,6.6,1,73.4
8.8,85.4,High,Yes,6.3,0,89.4
5.3,65.4,Medium,Yes,7.4,5,82.7
5.5,70.5,High,Yes,8.1,1,75.8
4.9,100.0,High,Yes,6.7,3,83.2
1.2,75.7,Low,Yes,8.3,2,59.2
4.9,80.6,Medium,No,8.7,0,77.9
5.1,88.4,Medium,Yes,5.9,0,70.3
9.9,83.9,High,Yes,6.0,1,100.0
4.6,79.8,Low,Yes,6.8,1,71.3
5.6,82.4,Medium,Yes,7.4,0,68.2
4.9,100.0,Medium,Yes,6.4,0,74.7
2.7,77.3,Medium,Yes,8.6,4,71.1
7.3,80.4,Low,Yes,7.5,5,72.9
6.5,90.6,Medium,Yes,7.0,1,91.1
6.6,91.3,Medium,Yes,5.3,1,82.8
3.2,92.2,Medium,Yes,5.4,0,69.5
7.8,85.7,Medium,Yes,7.3,2,88.0
2.2,64.3,Medium,Yes,4.4,3,52.1
6.2,97.6,Medium,Yes,8.2,0,79.8
9.4,64.2,Low,Yes,6.8,0,83.9
3.0,81.6,High,Yes,10.0,3,75.6
3.9,68.9,Medium,Yes,9.8,2,60.6
5.2,77.2,Medium,Yes,6.8,0,70.9
4.0,81.9,Low,Yes,6.9,2,68.4
1.9,81.9,Low,Yes,8.2,1,64.1
5.1,83.1,Medium,Yes,9.0,1,83.8
2.9,97.4,Medium,Yes,5.0,3,74.9
5.9,83.4,High,Yes,4.9,3,83.0
3.2,75.1,Low,Yes,6.3,1,69.3
8.1,89.6,Medium,Yes,7.7,4,84.1
3.4,92.3,Medium,Yes,7.6,1,76.2
4.4,63.3,Low,Yes,8.3,3,74.8
6.6,85.2,Low,No,5.6,1,62.4
2.5,86.4,Medium,Yes,4.2,4,58.6
5.5,74.4,Medium,Yes,8.0,4,77.7
7.6,94.5,Medium,Yes,6.0,0,78.1
1.8,76.2,Medium,Yes,4.6,4,68.4
5.4,79.5,Medium,Yes,7.2,3,75.9
5.5,75.9,Low,Yes,8.0,3,71.6
6.6,78.2,Medium,Yes,6.9,0,73.5
2.5,64.8,High,Yes,6.5,3,76.4
2.4,60.7,Medium,Yes,6.8,4,66.9
6.0,97.1,Medium,No,6.6,1,75.5
5.6,67.8,Medium,Yes,5.4,5,77.0
5.5,66.1,High,No,6.1,0,77.1
5.7,52.2,High,Yes,7.6,0,69.4
3.6,70.3,Medium,Yes,7.4,2,78.3
5.5,62.1,High,Yes,7.2,2,79.5
5.6,97.7,Low,Yes,5.8,2,74.7
3.6,90.1,Low,Yes,6.8,0,80.9
8.7,69.7,High,No,4.4,5,79.6
5.9,100.0,High,No,7.2,0,78.2
2.6,89.8,Low,Yes,8.7,0,59.1
6.3,74.1,Medium,Yes,5.2,0,77.6
3.1,48.0,Low,Yes,6.3,2,67.8
6.6,100.0,Medium,No,7.4,4,96.1
7.3,61.3,High,Yes,8.5,2,93.8
3.4,58.3,Medium,Yes,6.5,3,65.9
6.9,90.3,Medium,Yes,6.2,0,77.2
5.8,100.0,Medium,Yes,4.6,2,68.3
6.6,94.6,Low,No,7.1,1,87.1
8.8,84.8,Medium,Yes,9.5,1,95.4
4.5,85.1,Medium,Yes,7.3,0,69.8
3.5,88.2,High,Yes,7.0,2,85.2
3.2,87.1,High,Yes,7.4,2,71.0
3.4,81.4,Low,Yes,7.0,3,71.6
4.8,79.3,High,Yes,6.0,1,74.6
5.7,77.2,High,Yes,8.0,0,84.1
5.6,69.0,High,No,7.3,2,75.9
6.7,74.6,Medium,Yes,7.0,0,68.1
5.0,57.7,Medium,Yes,5.8,4,72.9
7.9,76.8,Medium,No,8.6,2,90.3
4.5,66.1,Low,Yes,7.8,0,65.4
10.4,64.8,Low,Yes,6.3,5,94.8
6.3,80.2,Low,Yes,8.2,2,72.5
3.3,94.7,Medium,Yes,6.4,0,69.0
2.9,89.0,Medium,Yes,6.1,2,65.9
6.0,59.2,Medium,No,6.1,1,71.7
4.6,66.1,Low,Yes,4.9,3,65.7
6.4,89.3,High,Yes,7.6,3,93.9
5.9,66.2,High,Yes,4.8,5,87.6
4.9,75.3,High,Yes,5.5,2,80.0
3.3,84.6,High,Yes,4.5,1,70.6
2.0,66.4,Medium,Yes,6.9,3,59.2
4.1,79.3,High,Yes,6.8,0,73.1
6.7,62.0,Low,Yes,6.6,2,69.7
5.4,70.8,Medium,No,5.7,2,66.8
2.5,81.8,Low,Yes,5.6,0,55.9
5.3,58.9,Low,Yes,7.6,1,62.0
5.8,83.3,Low,Yes,6.3,4,65.9
3.2,77.8,Medium,Yes,7.4,4,70.3
5.3,84.6,High,Yes,5.9,0,77.5
5.1,80.7,Medium,Yes,7.2,0,65.4
2.7,94.4,Low,Yes,8.6,1,69.5
5.7,79.5,High,Yes,7.7,4,98.7
6.1,72.8,Medium,No,6.5,0,75.7
7.2,79.5,Medium,No,7.3,3,91.4
7.1,84.5,Medium,No,6.7,0,78.1
2.2,78.6,Medium,Yes,7.0,2,73.9
3.1,78.5,Medium,Yes,6.6,1,62.8
6.0,69.6,High,Yes,6.8,3,78.6
6.0,70.0,Medium,Yes,7.3,0,57.8
6.0,61.2,Medium,Yes,5.8,2,80.0
12.0,99.0,High,Yes,5.8,0,100.0
6.1,63.1,Medium,Yes,5.3,3,71.1
7.3,69.7,Low,Yes,5.1,4,75.6
6.9,69.4,Low,Yes,5.5,0,64.8
6.3,88.7,Low,Yes,7.2,4,84.6
4.4,74.5,Medium,Yes,5.9,2,77.6
6.5,93.0,Medium,Yes,7.6,0,71.0
3.5,69.9,Low,Yes,7.0,1,65.8
4.5,81.3,High,Yes,4.6,0,68.8
